,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
973,1,골목상권,한강미주맨션아파트,당구장,3583727,243,1683599,1900128,245888,361492,601876,300937,173406,935842,964286,0,0,114687,666099,2230425,572516,3354351,229376,208395,570870,150469,312865,870311,1470817,129,114,28,32,36,19,14,64,50,0,0,10,55,132,46,215,28,28,43,14,32,61,65,3
974,1,골목상권,한강미주맨션아파트,스포츠클럽,26898375,83,26898375,0,0,1658687,21894669,3345019,0,0,0,0,0,0,5003706,21894669,0,25239688,1658687,0,0,0,21894669,0,5003706,83,0,0,27,28,28,0,0,0,0,0,0,55,28,0,55,28,0,0,0,28,0,55,2
975,1,골목상권,한강미주맨션아파트,미용실,787686929,8269,490448591,297238338,113592706,91771415,99871183,80170263,105043024,164976438,132261900,0,14115777,285074193,275514655,212982304,0,297610855,490076074,3390938,21731867,95638878,349332428,189050412,128542406,5112,3157,781,1170,1274,812,1075,1691,1466,0,469,2518,2936,2346,0,4082,4187,101,547,1472,2918,1965,1266,12
976,1,골목상권,한강미주맨션아파트,세탁소,59232617,1959,43790557,15442060,11632616,6224894,10959657,9469527,5503863,15442060,0,0,12618026,25524463,13206866,7883262,0,35363061,23869556,0,1819034,18835929,18224361,16483504,3869789,1466,493,385,264,349,228,240,493,0,0,408,662,589,300,0,1173,786,0,60,606,617,423,253,3
977,1,골목상권,한강미주맨션아파트,슈퍼마켓,2758432103,104584,1974886956,783545147,407160722,403630949,406233534,367819303,390042448,388642827,394902320,0,316288430,719904705,892163824,788863056,41212088,1269925087,1468982125,3474587,44653188,370810748,725801366,652616375,941550947,74158,30426,15205,15517,15792,13120,14524,15713,14713,0,10276,24041,32142,35706,2419,46009,58155,639,3428,15715,29187,25419,29776,9
978,1,골목상권,한강미주맨션아파트,편의점,606426432,78251,436901549,169524883,87489631,81509543,95581992,74350290,97970093,81265998,88258885,37762679,81481097,66486107,94916703,182133612,143646234,383164970,206863453,10018457,55552731,159227983,180121402,134256813,50851035,55882,22369,11249,10747,11868,9845,12173,10387,11982,4506,13117,10825,12273,21382,16148,49067,28578,2287,10852,21730,21857,14672,6247,6
979,1,골목상권,한강미주맨션아파트,육류판매,149120134,2585,120824202,28295932,17968202,25005179,23764028,31905515,22181278,27157263,1138669,0,10430210,40775748,54280368,43633808,0,69721416,75481696,0,2709948,1396834,25420943,57389097,58286290,2176,409,513,387,444,479,353,398,11,0,170,638,865,912,0,1035,1481,0,23,45,494,1012,943,3
980,1,골목상권,한강미주맨션아파트,일반의류,891019511,1594,775105646,115913865,171460924,57943861,149282618,223842655,172575588,115913865,0,0,7021144,149093537,353917652,380987178,0,16763797,874255714,0,3018057,15753105,162607560,601336715,108304074,1383,211,258,209,303,287,326,211,0,0,18,405,719,452,0,140,1454,0,19,173,397,569,436,11
981,1,골목상권,한강미주맨션아파트,의약품,638771748,30804,527887129,110884619,125821969,107506284,120624344,69058683,104875849,110884619,0,0,196752986,205875022,165373467,70770273,0,298425633,340346115,224926,10384960,43857956,107052585,186616071,290635250,25652,5152,5662,5557,5524,3996,4913,5152,0,0,8451,10613,8084,3656,0,12899,17905,17,1009,3956,6526,8455,10841,6
982,1,골목상권,한강미주맨션아파트,화초,27550265,464,23176872,4373393,4753688,1795838,5070601,7605902,3950843,1056375,3317018,0,2007113,3802951,11345471,10394730,0,9338357,18211908,0,3169126,7331243,11303215,2746575,3000106,380,84,63,42,64,106,105,21,63,0,42,85,147,190,0,191,273,0,21,169,148,42,84,3
